"","Factor1","Factor2","Factor3"
"pcseitem_01m",0.368466459603894,0.20405996184685,-0.020501799041763
"pcseitem_02r",0.533528943264798,-0.0256207489075264,0.0282244989496772
"pcseitem_03m",0.199947095721218,0.372397188573741,0.342448673746198
"pcseitem_05",-0.107529846840412,0.908022529766884,0.0299887450415236
"pcseitem_07",-0.0847153147970078,0.376186628355622,0.448107286930707
"pcseitem_08r",0.644988332826985,0.0372537759881186,-0.127562028349804
"pcseitem_09",0.182881060653205,0.0351269917941632,0.212561517058321
"pcseitem_10r",-0.163370734100937,0.723982384959001,0.239063228954207
"pcseitem_11m",0.361159480292073,0.0855043191714851,0.207171922602188
"pcseitem_12",0.497144018923143,-0.263613791199033,0.267277982793873
"pcseitem_15r",0.415243459205716,0.0343944934116766,0.21739868139588
"pcseitem_16r",0.42451440113747,-0.0846523395977539,-0.360138600527903
"pcseitem_17",0.18533632022591,0.287271700396463,-0.0681108576904423
"pcseitem_19m",0.196396917452936,0.553593371062049,-0.097315612089881
"pcseitem_20",0.469696715812593,0.162366978931689,-0.0826452093634776
"pcseitem_21r",0.647413709482139,-0.0992827644010246,-0.149651420018426
"pcseitem_22r",0.451282504273603,-0.120679787793471,0.0396245038277079
"pcseitem_23",0.302918357130175,-0.00466955589370825,0.000915037169695841
"pcseitem_24",0.0570976660952685,0.358196940232425,-0.127157757063609
"pcseitem_25r",0.410013924166635,-0.21069844182474,0.348800058523625
"pcseitem_26r",-0.115109209160841,-0.00653801070764295,0.588567432467201
"pcseitem_27r",0.0535089981927748,-0.0272576377005711,0.691263369017918
"pcseitem_28m",0.0806906891301811,0.121942819655849,0.0436725009147961
